0.5,33,0.071442,1.2707,-
1.5,5,0.071442,1.0667,-
1.6,36,0.071442,1.4903,-
0.4,49,0.054349,1.0072,-
0.9,11,0.054349,1.2384,-
1.6,7,0.054349,1.772,-
1.2,7,0.035258,1.7554,-
0.8,44,0.035258,1.5822,-
0.5,43,0.035258,1.963,-
1,43,0.044719,1.086,-
0.9,28,0.044719,0.98345,-
0.2,18,0.044719,1.3021,-
0.6,25,0.05379,1.4492,-
0.8,6,0.05379,1.9788,-
1,33,0.05379,2.0676,-
0.5,19,0.022746,1.0675,-
0.4,32,0.022746,1.036,-
1,9,0.022746,1.0683,-
1,5,0.02794,0.78918,-
0.3,34,0.02794,0.79489,-
0.2,38,0.02794,0.82164,-
0.7,25,0.020464,0.59521,-
1.5,11,0.020464,0.79729,-
0.5,28,0.020464,1.3157,-
0.3,22,0.039994,1.2211,-
1.3,10,0.039994,1.8876,-
1,33,0.039994,2.1984,-
0.9,43,0.072941,1.3461,-
1,13,0.072941,1.3551,-
0.6,37,0.072941,1.8364,-
0.7,41,0.058192,1.1437,-
1.4,9,0.058192,1.2529,-
1.1,19,0.058192,1.2589,-
0.7,17,0.10118,1.4957,-
0.3,45,0.10118,1.5987,-
0.2,46,0.10118,1.1333,-
0.5,48,0.05996,1.5323,-
1.4,37,0.05996,1.3998,-
1,5,0.05996,1.5042,-
0.8,17,0.064411,1.2497,-
0.8,32,0.064411,1.2309,-
0.5,10,0.064411,1.7094,-
1.5,10,0.029414,1.2913,-
1,45,0.029414,1.7922,-
0.9,23,0.029414,1.6576,-
1,36,0.033159,2.3728,-
1.3,48,0.033159,2.6499,-
1.3,33,0.026449,0.90474,-
1,37,0.026449,0.69081,-
0.5,23,0.026449,0.73007,-
0.4,20,0.041015,0.87358,-
1.5,18,0.041015,1.2228,-
1.3,47,0.041015,1.2801,-
0.2,20,0.075343,0.8042,-
1.4,11,0.075343,1.2074,-
1.5,19,0.075343,0.77562,-
0.7,13,0.031329,0.9611,-
1.3,12,0.031329,1.7483,-
1.5,44,0.031329,1.4153,-
1,36,0.11416,1.6664,-
0.9,36,0.11416,1.5469,-
1,32,0.11416,1.7596,-
1.1,33,0.074396,0.8185,-
0.5,35,0.074396,1.156,-
0.7,39,0.074396,0.90787,-
0.5,40,0.089188,1.0776,-
0.3,46,0.089188,1.3137,-
0.7,17,0.076428,1.9751,-
0.6,15,0.076428,1.7913,-
0.6,19,0.076428,3.0244,-
0.5,19,0.040562,0.82985,-
1,36,0.040562,0.86603,-
1.2,46,0.040562,1.4773,-
1.1,31,0.065793,0.87857,-
0.6,19,0.065793,1.1981,-
0.6,37,0.065793,1.1898,-
1,32,0.048942,2.1759,-
1.1,32,0.048942,2.2825,-
1.1,30,0.048942,2.6194,-
1.2,47,0.03448,0.8271,-
1.2,44,0.03448,1.2975,-
1.3,46,0.03448,0.85702,-
1,33,0.035988,0.71168,-
1.4,50,0.035988,0.84258,-
0.9,38,0.035988,1.369,-
0.8,6,0.061875,1.1082,-
1,35,0.061875,0.94683,-
0.4,8,0.061875,1.0277,-
0.6,19,0.084576,0.94263,-
0.6,35,0.084576,1.5972,-
0.7,32,0.084576,1.0026,-
1.2,46,0.060404,0.86342,-
0.8,48,0.060404,0.93557,-
1.4,48,0.060404,0.75664,-
0.1,10,0.067715,0.95891,-
0.7,24,0.067715,0.97891,-
0.5,43,0.067715,0.87126,-
0.1,30,0.032256,0.85558,-
1.2,45,0.032256,0.52886,-
1.6,45,0.032256,0.22101,-
1.1,33,0.096135,0.68161,-
1,14,0.096135,0.63672,-
0.5,50,0.096135,0.7569,-
1.3,43,0.057944,1.0263,-
1.5,33,0.057944,1.1412,-
0.9,32,0.057944,1.3955,-
1.4,46,0.053454,1.2808,-
1.2,42,0.053454,1.705,-
1.3,44,0.053454,2.3082,-
1.2,43,0.041009,0.88369,-
1.1,44,0.041009,0.97669,-
0.9,43,0.041009,1.0799,-
1,42,0.058492,1.5913,-
1.2,38,0.058492,1.5543,-
1.2,43,0.058492,2.2474,-
0.5,21,0.076559,1.5168,-
0.6,20,0.076559,1.2144,-
0.5,18,0.076559,1.1257,-
1.1,39,0.030514,1.1207,-
1.3,50,0.030514,1.1195,-
1.5,38,0.030514,0.92607,-
0.8,47,0.071251,1.2421,-
0.3,25,0.071251,1.4277,-
0.6,17,0.071251,1.5736,-
0.8,48,0.033529,0.68718,-
0.9,20,0.033529,0.77728,-
1.4,29,0.033529,1.0994,-
0.9,43,0.030796,2.1515,-
0.9,37,0.030796,2.9819,-
0.9,38,0.030796,3.9734,-
0.3,24,0.081372,1.0383,-
0.6,17,0.081372,0.85213,-
0.6,6,0.081372,1.1494,-
0.8,46,0.046081,0.89512,-
1.2,26,0.046081,1.1526,-
1.2,50,0.046081,1.0989,-
0.6,8,0.069891,1.2109,-
0.9,25,0.069891,0.63708,-
1.3,35,0.069891,1.0293,-
0.8,21,0.051321,1.066,-
0.6,9,0.051321,1.215,-
1.2,46,0.051321,1.1283,-
0.7,23,0.06167,0.98452,-
0.5,23,0.06167,1.122,-
0.7,29,0.06167,0.9105,-
0.5,27,0.04682,1.2342,-
0.6,21,0.04682,1.1366,-
0.9,17,0.04682,1.48,-
1.51, 0, 0.02, 1, 05/01/2022 11:07:39
1.51, 0, 0.02, 2, 06/01/2022 11:51:17
